QUERY_ID,TOTAL_ELAPSED_TIME,COMPILATION_TIME,EXECUTION_TIME,ROWS_PRODUCED,WAREHOUSE_NAME,QUERY_TEXT,UDF
01a7e891-0001-82ae-0000-0004f18742e9,37592,155,20039,10000000,LARGE_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 10000000,add_rows_vectorized
01a7e891-0001-82b4-0000-0004f1873335,23674,150,7658,1000000,LARGE_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 1000000,add_rows_vectorized
01a7e891-0001-82b4-0000-0004f1873331,17987,290,9167,10000,LARGE_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 10000,add_rows_vectorized
01a7e891-0001-82b4-0000-0004f187332d,17794,210,9595,100,LARGE_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 100,add_rows_vectorized
01a7e891-0001-82b4-0000-0004f1873329,88770,491,88293,10000000,LARGE_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 10000000,add_rows_simple
01a7e891-0001-82b4-0000-0004f1873325,16207,260,15985,1000000,LARGE_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 1000000,add_rows_simple
01a7e891-0001-82ae-0000-0004f18742e5,8299,483,7840,10000,LARGE_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 10000,add_rows_simple
01a7e891-0001-82b4-0000-0004f1873321,8943,527,8436,100,LARGE_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 100,add_rows_simple
01a7e891-0001-82ae-0000-0004f18742e1,231176,389,230809,10000000,LARGE_TEST_WH,select add_rows_simple_with_pandas(*) from demodb.udf_testing.udf_test limit 10000000,add_rows_simple_with_pandas
01a7e891-0001-82ae-0000-0004f18742dd,36821,631,36210,1000000,LARGE_TEST_WH,select add_rows_simple_with_pandas(*) from demodb.udf_testing.udf_test limit 1000000,add_rows_simple_with_pandas
01a7e891-0001-82ae-0000-0004f18742d9,20378,462,19909,10000,LARGE_TEST_WH,select add_rows_simple_with_pandas(*) from demodb.udf_testing.udf_test limit 10000,add_rows_simple_with_pandas
